Year,Actual,ARIMA,ML
2012-01-01,47987456602.7121,47229984177.8608,35541230599.82089
2013-01-01,53065618849.7063,49995136742.02131,36981548753.7202
2014-01-01,58508820967.9288,52492151134.30251,38457206421.298676
2015-01-01,64589328550.5953,54747028841.98242,39968203602.55631
2016-01-01,70682351658.2337,56783249975.63266,41514540297.49311
2017-01-01,77442545825.2366,58622017768.22837,43096216506.10907
2018-01-01,82721144197.5947,60282479365.06203,44713232228.40419
2019-01-01,89640011617.7163,61781925203.55327,46365587464.37848
2020-01-01,95071775811.9827,63135969059.10288,48053282214.03192
2021-01-01,100435279224.388,64358710631.81383,49776316477.36453
2022-01-01,105780203623.569,65462882367.09988,51534690254.37631
2023-01-01,112755610463.007,66459982039.02934,53328403545.067245
2024-01-01,121005590210.621,67360392476.9983,55157456349.43735
