Year,Actual,ARIMA,ML
2012-01-01,500.91935528473,479.4031863648514,365.96726239087343
2013-01-01,539.072451759432,478.3062928028573,372.3096548538705
2014-01-01,578.632922927814,478.53572464990214,378.84062400519525
2015-01-01,621.845673808133,478.48773551562124,385.5601698448478
2016-01-01,662.32729587522,478.49777316749345,392.46829237282805
2017-01-01,706.164227383539,478.49567364107736,399.56499158913596
2018-01-01,734.227726647201,478.49611278872146,406.85026749377164
2019-01-01,774.512169656681,478.4960209343624,414.3241200867351
2020-01-01,799.47559527955,478.4960401470882,421.98654936802626
2021-01-01,822.305881122416,478.4960361284566,429.8375553376452
2022-01-01,843.648005300445,478.496036969014,437.87713799559185
2023-01-01,876.168528913325,478.49603679319875,446.1052973418662
2024-01-01,916.294136810201,478.49603682997315,454.52203337646836
